about n,Date,WorkoutLabel,SetID,Exercise,Weight_kg,Reps,NoteA,NoteB
W20251219,19/12/2025,Leg Day,7,Romanian Deadlift (Barbell),80,10,Working,
W20251219,19/12/2025,Leg Day,8,Romanian Deadlift (Barbell),80,10,Working,
W20251219,19/12/2025,Leg Day,9,Leg Curl (Machine),30,12,Working,
W20251219,19/12/2025,Leg Day,10,Leg Curl (Machine),30,12,Working,
W20251219,19/12/2025,Leg Day,11,Leg Extension (Machine),40,12,Working,
W20251219,19/12/2025,Leg Day,12,Leg Extension (Machine),40,13,Working,
W20251219,19/12/2025,Leg Day,13,Leg Extension (Machine),65,5,Working,
W20251219,19/12/2025,Leg Day,14,Adductor Machine,60,16,Working,
W20251219,19/12/2025,Leg Day,15,Adductor Machine,70,9,Working,
W20251219,19/12/2025,Leg Day,16,Abductor Machine,80,11,Working,
W20251219,19/12/2025,Leg Day,17,Abductor Machine,70,11,Working,
W20251221,21/12/2025,,1,Bench Press (Barbell),20,12,Warmup,
W20251221,21/12/2025,,2,Bench Press (Barbell),40,12,Warmup,
W20251221,21/12/2025,,3,Bench Press (Barbell),50,12,Warmup,
W20251221,21/12/2025,,4,Bench Press (Barbell),60,7,Working,
W20251221,21/12/2025,,5,Bench Press (Barbell),60,5,Working,
W20251221,21/12/2025,,6,Bench Press (Barbell),60,6,Working,
W20251221,21/12/2025,,7,Overhead Press (Seated Barbell),35,9,Working,
W20251221,21/12/2025,,8,Overhead Press (Seated Barbell),37.5,8,Working,
W20251221,21/12/2025,,9,Overhead Press (Seated Barbell),37.5,5,Working,
W20251221,21/12/2025,,10,Chest Press (Machine),45,12,Working,
W20251221,21/12/2025,,11,Chest Press (Machine),45,9,Working,
W20251221,21/12/2025,,12,Triceps Extension (Cable),30,10,Working,Easy
W20251221,21/12/2025,,13,Triceps Extension (Cable),35,11,Working,
W20251221,21/12/2025,,14,Lateral Raise (Dumbbell),8,10,Working,
W20251221,21/12/2025,,15,Lateral Raise (Dumbbell),8,8,Working,
W20251223,23/12/2025,,1,Lat Pulldown (Standard Bar),20,10,Warmup,
W20251223,23/12/2025,,2,Lat Pulldown (Standard Bar),40,10,Warmup,
W20251223,23/12/2025,,3,Lat Pulldown (Standard Bar),55,7,Working,
W20251223,23/12/2025,,4,Lat Pulldown (Standard Bar),55,7,Working,
W20251223,23/12/2025,,5,Lat Pulldown (Standard Bar),55,8,Working,
W20251223,23/12/2025,,6,Lat Pulldown (Standard Bar),55,7,Working,
W20251223,23/12/2025,,7,Chest-Supported Row (Machine),55,10,Working,
W20251223,23/12/2025,,8,Chest-Supported Row (Machine),55,9,Working,
W20251223,23/12/2025,,9,Chest-Supported Row (Machine),55,8,Working,
W20251223,23/12/2025,,10,Chest-Supported Row (Machine),45,10,Working,
W20251223,23/12/2025,,11,Face Pull,25,14,Working,
W20251223,23/12/2025,,12,Face Pull,30,10,Working,
W20251223,23/12/2025,,13,Hammer Curl (Incline),12,7,Working,
W20251223,23/12/2025,,14,Hammer Curl (Incline),10,12,Working,
W20251223,23/12/2025,,15,Deadlift (Barbell),130,7,Working,
W20251223,23/12/2025,,16,Deadlift (Barbell),130,5,Working,
W20251223,23/12/2025,,17,Deadlift (Barbell),130,6,Working,
W20251223,23/12/2025,,18,Leg Press,101,21,Working,
W20251223,23/12/2025,,19,Leg Press,117,14,Working,
W20251224,24/12/2025,,1,Bench Press (Barbell),20,12,Warmup,
W20251224,24/12/2025,,2,Bench Press (Barbell),40,12,Warmup,
W20251224,24/12/2025,,3,Bench Press (Barbell),45,12,Warmup,
W20251224,24/12/2025,,4,Bench Press (Barbell),60,7,Working,
W20251224,24/12/2025,,5,Bench Press (Barbell),60,7,Working,
W20251224,24/12/2025,,6,Bench Press (Barbell),60,7,Working,
W20251224,24/12/2025,,7,Leg Extension (Machine),45,12,Working,
W20251224,24/12/2025,,8,Leg Press,125,12,Working,
W20251224,24/12/2025,,9,Leg Press,141,10,Working,
W20251224,24/12/2025,,10,Leg Press,141,7,Working,
W20251224,24/12/2025,,11,Adductor Machine,65,16,Working,
W20251224,24/12/2025,,12,Adductor Machine,65,16,Working,
W20251224,24/12/2025,,13,Abductor Machine,80,12,Working,
W20251224,24/12/2025,,14,Abductor Machine,80,12,Working,
W20251229,29/12/2025,Sick,1,Bench Press (Barbell),20,12,Warmup,
W20251229,29/12/2025,Sick,2,Bench Press (Barbell),40,12,Warmup,
W20251229,29/12/2025,Sick,3,Bench Press (Barbell),40,12,Warmup,
W20251229,29/12/2025,Sick,4,Bench Press (Barbell),60,5,Working,
W20251229,29/12/2025,Sick,5,Bench Press (Barbell),60,5,Working,
W20251229,29/12/2025,Sick,6,Bench Press (Barbell),60,4,Working,
W20251229,29/12/2025,Sick,7,Overhead Press (Seated Barbell),30,8,Working,
W20251229,29/12/2025,Sick,8,Overhead Press (Seated Barbell),30,8,Working,
W20251229,29/12/2025,Sick,9,Chest Press (Machine),40,12,Working,
W20251229,29/12/2025,Sick,10,Chest Press (Machine),40,12,Working,
W20251229,29/12/2025,Sick,11,Triceps Extension (Cable),35,12,Working,
W20251229,29/12/2025,Sick,12,Triceps Extension (Cable),35,12,Working,
W20251229,29/12/2025,Sick,13,Lateral Raise (Dumbbell),7,11,Working,
W20251229,29/12/2025,Sick,14,Lateral Raise (Dumbbell),7,10,Working,
W20260110,10/01/2026,,1,Bench Press (Barbell),20,12,Warmup,
W20260110,10/01/2026,,2,Bench Press (Barbell),40,12,Warmup,
W20260110,10/01/2026,,3,Bench Press (Barbell),50,8,Working,
W20260110,10/01/2026,,4,Bench Press (Barbell),60,6,Working,
W20260110,10/01/2026,,5,Bench Press (Barbell),60,5,Working,
W20260110,10/01/2026,,6,Bench Press (Barbell),60,6,Working,
W20260110,10/01/2026,,7,Leg Press,117,12,Working,
W20260110,10/01/2026,,8,Chest Press (Machine),45,12,Working,
W20260110,10/01/2026,,9,Chest Press (Machine),45,10,Working,
W20260110,10/01/2026,,10,Chest Press (Machine),45,12,Working,
W20260110,10/01/2026,,11,Deadlift (Barbell),100,8,Warmup,
W20260110,10/01/2026,,12,Deadlift (Barbell),130,6,Working,
W20260110,10/01/2026,,13,Deadlift (Barbell),130,5,Working,
W20260110,10/01/2026,,14,Deadlift (Barbell),130,3,Working,
W20260110,10/01/2026,,15,Lateral Raise (Dumbbell),7,12,Working,
W20260110,10/01/2026,,16,Lateral Raise (Dumbbell),10,10,Working,
W20260114,14/01/2026,,1,Lat Pulldown (Neutral V-handle),30,10,Warmup,
W20260114,14/01/2026,,2,Lat Pulldown (Neutral V-handle),45,6,Working,
W20260114,14/01/2026,,3,Lat Pulldown (Neutral V-handle),40,9,Working,
W20260114,14/01/2026,,4,Lat Pulldown (Neutral V-handle),35,12,Working,
W20260114,14/01/2026,,5,Lat Pulldown (Neutral V-handle),40,9,Working,
W20260114,14/01/2026,,6,Chest-Supported Row (Machine),50,10,Working,
W20260114,14/01/2026,,7,Chest-Supported Row (Machine),50,10,Working,
W20260114,14/01/2026,,8,Chest-Supported Row (Machine),50,9,Working,
W20260114,14/01/2026,,9,Bench Press (Barbell),50,12,Working,
W20260114,14/01/2026,,10,Bench Press (Barbell),50,8,Working,
W20260114,14/01/2026,,11,Bench Press (Barbell),60,6,Working,
W20260114,14/01/2026,,12,Face Pull,25,12,Working,
W20260114,14/01/2026,,13,Face Pull,30,12,Working,
W20260114,14/01/2026,,14,Face Pull,30,10,Working,
W20260114,14/01/2026,,15,Triceps Extension (Cable),35,12,Working,
W20260114,14/01/2026,,16,Triceps Extension (Cable),35,12,Working,
W20260114,14/01/2026,,17,Hammer Curl (Incline),10,12,Working,
W20260114,14/01/2026,,18,Hammer Curl (Incline),10,12,Working,
W20260117,17/01/2026,,1,Leg Press,85,10,Warmup,
W20260117,17/01/2026,,2,Leg Press,101,10,Warmup,
W20260117,17/01/2026,,3,Leg Press,117,10,Warmup,
W20260117,17/01/2026,,4,Leg Press,141,12,Working,
W20260117,17/01/2026,,5,Leg Press,133,12,Working,
W20260117,17/01/2026,,6,Leg Press,149,12,Working,
W20260117,17/01/2026,,7,Deadlift (Barbell),100,10,Warmup,
W20260117,17/01/2026,,8,Deadlift (Barbell),120,5,Working,
W20260117,17/01/2026,,9,Deadlift (Barbell),140,1,Ramp Single,
W20260117,17/01/2026,,10,Deadlift (Barbell),150,1,Ramp Single,
W20260117,17/01/2026,,11,Deadlift (Barbell),160,1,1RM Success,
W20260117,17/01/2026,,12,Deadlift (Barbell),170,0,1RM Fail,
W20260117,17/01/2026,,13,Leg Extension (Machine),40,12,Working,
W20260117,17/01/2026,,14,Leg Extension (Machine),40,12,Working,
W20260117,17/01/2026,,15,Adductor Machine,70,12,Working,
W20260117,17/01/2026,,16,Adductor Machine,70,12,Working,
W20260117,17/01/2026,,17,Abductor Machine,70,12,Working,
W20260117,17/01/2026,,18,Abductor Machine,75,10,Working,
W20260117,17/01/2026,,19,Chest Press (Machine),50,12,Working,
W20260117,17/01/2026,,20,Chest Press (Machine),50,12,Working,
W20260117,17/01/2026,,21,Chest Press (Machine),50,11,Working,
W20260121,21/01/2026,,1,Bench Press (Barbell),20,12,Warmup,
W20260121,21/01/2026,,2,Bench Press (Barbell),40,12,Warmup,
W20260121,21/01/2026,,3,Bench Press (Barbell),50,5,Warmup,
W20260121,21/01/2026,,4,Bench Press (Barbell),60,5,Working,
W20260121,21/01/2026,,5,Bench Press (Barbell),60,9,Working,
W20260121,21/01/2026,,6,Bench Press (Barbell),70,1,Ramp Single,
W20260121,21/01/2026,,7,Bench Press (Barbell),75,1,1RM Success,
W20260121,21/01/2026,,8,Bench Press (Barbell),80,0,1RM Fail,
W20260121,21/01/2026,,9,Bench Press (Barbell),60,8,Working,
W20260121,21/01/2026,,10,Bench Press (Barbell),65,4,Working,
W20260121,21/01/2026,,11,Chest Press (Machine),50,8,Working,
W20260121,21/01/2026,,12,Chest Press (Machine),50,8,Working,
W20260121,21/01/2026,,13,Chest Press (Machine),50,7,Working,
W20260121,21/01/2026,,14,Chest-Supported Row (Machine),50,10,Working,
W20260121,21/01/2026,,15,Chest-Supported Row (Machine),50,9,Working,
W20260121,21/01/2026,,16,Chest-Supported Row (Machine),50,8,Working,
W20260122,22/01/2026,B,1,Deadlift (Barbell),90,5,Warmup,
W20260122,22/01/2026,B,2,Deadlift (Barbell),120,5,Warmup,
W20260122,22/01/2026,B,3,Deadlift (Barbell),140,7,Working,
W20260122,22/01/2026,B,4,Deadlift (Barbell),150,4,Working,
W20260122,22/01/2026,B,5,Deadlift (Barbell),130,10,Working,
W20260122,22/01/2026,B,6,Deadlift (Barbell),130,5,Backoff,
W20260122,22/01/2026,B,7,Leg Press,125,15,Warmup,
W20260122,22/01/2026,B,8,Leg Press,157,7,Working,
W20260122,22/01/2026,B,9,Leg Press,141,12,Working,
W20260122,22/01/2026,B,10,Leg Press,141,11,Working,
W20260122,22/01/2026,B,11,Leg Press,133,12,Backoff,
W20260122,22/01/2026,B,12,Leg Curl (Machine),25,12,Working,
W20260122,22/01/2026,B,13,Leg Curl (Machine),30,10,Working,
W20260122,22/01/2026,B,14,Leg Curl (Machine),30,10,Working,
W20260122,22/01/2026,B,15,Leg Extension (Machine),45,12,Working,
W20260122,22/01/2026,B,16,Leg Extension (Machine),40,12,Working,
W20260122,22/01/2026,B,17,Adductor Machine,60,16,Working,
W20260122,22/01/2026,B,18,Adductor Machine,70,9,Working,
W20260122,22/01/2026,B,19,Abductor Machine,80,10,Working,
W20260122,22/01/2026,B,20,Abductor Machine,70,11,Working,
W20260123,23/01/2026,C,1,Bench Press (Barbell),20,10,Warmup,
W20260123,23/01/2026,C,2,Bench Press (Barbell),40,5,Warmup,
W20260123,23/01/2026,C,3,Bench Press (Barbell),50,3,Warmup,
W20260123,23/01/2026,C,4,Bench Press (Barbell),55,1,Warmup,
W20260123,23/01/2026,C,5,Bench Press (Barbell),60,10,Working,
W20260123,23/01/2026,C,6,Bench Press (Barbell),60,9,Working,
W20260123,23/01/2026,C,7,Bench Press (Barbell),60,6,Backoff,
W20260123,23/01/2026,C,8,Overhead Press (Seated Barbell),35,5,Working,
W20260123,23/01/2026,C,9,Overhead Press (Seated Barbell),30,11,Working,
W20260123,23/01/2026,C,10,Overhead Press (Seated Barbell),30,9,Working,
W20260123,23/01/2026,C,11,Lat Pulldown (Neutral D-handle),50,10,Working,
W20260123,23/01/2026,C,12,Lat Pulldown (Neutral D-handle),50,12,Working,
W20260123,23/01/2026,C,13,Lat Pulldown (Neutral V-handle),35,12,Working,
W20260123,23/01/2026,C,14,Lat Pulldown (Neutral V-handle),40,10,Working,
W20260123,23/01/2026,C,15,Hammer Curl (Incline),12,9,Working,
W20260123,23/01/2026,C,16,Hammer Curl (Incline),12,7,Working,
W20260123,23/01/2026,C,17,Seated Row (Machine) – Wide Grip,40,10,Working,
W20260123,23/01/2026,C,18,Seated Row (Machine) – Wide Grip,30,12,Working,
W20260123,23/01/2026,C,19,Triceps Extension (Cable),35,15,Working,
W20260123,23/01/2026,C,20,Triceps Extension (Cable),40,10,Working,
W20260123,23/01/2026,C,21,Face Pull,30,14,Working,
W20260123,23/01/2026,C,22,Face Pull,35,12,Working,
W20260123,23/01/2026,C,23,Lateral Raise (Dumbbell),8,7,Working,
W20260123,23/01/2026,C,23,Lateral Raise (Dumbbell),5,15,Backoff,
W20260123,23/01/2026,C,24,Seated Row (Machine) – Narrow Grip,30,20,Working,
W20260126,26/01/2026,A,11,Bench Press (Barbell),65,4,Working,
W20260126,26/01/2026,A,12,Bench Press (Barbell),65,4,Working,
W20260126,26/01/2026,A,13,Bench Press (Barbell),65,6,Working,
W20260126,26/01/2026,A,18,Lateral Raise (Dumbbell),6,8,Working,didn’t rest enough
W20260126,26/01/2026,A,19,Lateral Raise (Dumbbell),6,14,Working,
W20260126,26/01/2026,A,1,Chest-Supported Dumbbell Row,13.5,12,Working,
W20260126,26/01/2026,A,2,Chest-Supported Dumbbell Row,13.5,11,Working,
W20260126,26/01/2026,A,3,Chest-Supported Dumbbell Row,13.5,12,Working,
W20260126,26/01/2026,A,4,Overhead Press (Seated Dumbbell),13.5,12,Working,
W20260126,26/01/2026,A,5,Overhead Press (Seated Dumbbell),15.7,8,Working,
W20260126,26/01/2026,A,6,Overhead Press (Seated Dumbbell),15.7,8,Working,
W20260126,26/01/2026,A,7,Bench Press (Barbell),20,10,Warmup,
W20260126,26/01/2026,A,8,Bench Press (Barbell),40,5,Warmup,
W20260126,26/01/2026,A,9,Bench Press (Barbell),50,3,Warmup,
W20260126,26/01/2026,A,10,Bench Press (Barbell),60,10,Working,
W20260126,26/01/2026,A,14,Hammer Curl (Incline),10,16,Working,
W20260126,26/01/2026,A,15,Hammer Curl (Incline),11.3,12,Working,
W20260126,26/01/2026,A,16,Rear Delt Fly (Dumbbell),6,9,Working,rep count uncertain
W20260126,26/01/2026,A,17,Rear Delt Fly (Dumbbell),4,14,Working,
W20260130,30/01/2026,B,1,Deadlift (Barbell),60,10,Warmup,
W20260130,30/01/2026,B,2,Deadlift (Barbell),100,5,Warmup,
W20260130,30/01/2026,B,3,Deadlift (Barbell),120,1,Warmup,
W20260130,30/01/2026,B,4,Deadlift (Barbell),140,8,Working,
W20260130,30/01/2026,B,5,Deadlift (Barbell),140,8,Working,
W20260130,30/01/2026,B,6,Deadlift (Barbell),140,2,Working,
W20260130,30/01/2026,B,7,Deadlift (Barbell),120,8,Backoff,
W20260130,30/01/2026,B,8,Deadlift (Barbell),120,5,Backoff,
W20260130,30/01/2026,B,9,Leg Press,141,11,Working,
W20260130,30/01/2026,B,10,Leg Press,157,6,Working,
W20260130,30/01/2026,B,11,Leg Press,157,7,Working,
W20260130,30/01/2026,B,12,Leg Press,157,6,Working,
W20260201,01/02/2026,C,1,Bench Press (Barbell),20,10,Warmup,
W20260201,01/02/2026,C,2,Bench Press (Barbell),40,5,Warmup,
W20260201,01/02/2026,C,3,Bench Press (Barbell),50,3,Warmup,
W20260201,01/02/2026,C,7,Chest Press (Machine),55,10,Working,
W20260201,01/02/2026,C,8,Chest Press (Machine),55,10,Working,
W20260201,01/02/2026,C,9,Chest Press (Machine),55,10,Working,
W20260201,01/02/2026,C,10,Lat Pulldown (Neutral Wide MAG),50,10,Working,
W20260201,01/02/2026,C,11,Lat Pulldown (Neutral Wide MAG),60,7,Working,
W20260201,01/02/2026,C,12,Assisted Pull-Up,-10,7,Working,
W20260201,01/02/2026,C,13,Chin-Up (Bodyweight),0,5,Working,Semi Supinated
W20260201,01/02/2026,C,14,Chin-Up (Bodyweight),0,5,Working,Semi Supinated
W20260201,01/02/2026,C,15,T-Bar Row (Machine),35,5,Working,
W20260201,01/02/2026,C,16,T-Bar Row (Machine),25,12,Working,
W20260201,01/02/2026,C,17,Triceps Extension (Cable),35,12,Working,Angled Bar
W20260201,01/02/2026,C,18,Triceps Extension (Cable),35,12,Working,Angled Bar
W20260201,01/02/2026,C,19,Face Pull,35,12,Working,
W20260201,01/02/2026,C,20,Face Pull,35,12,Working,
W20260201,01/02/2026,C,21,Hammer Curl (Incline),12,10,Working,
W20260201,01/02/2026,C,22,Hammer Curl (Incline),12,8,Working,
W20260201,01/02/2026,C,4,Bench Press (Barbell),65,9,Working,
W20260201,01/02/2026,C,5,Bench Press (Barbell),65,8,Working,
W20260201,01/02/2026,C,6,Bench Press (Barbell),65,7,Working,
W20260201,01/02/2026,C,23,Lateral Raise (Dumbbell),9,6,Working,
W20260201,01/02/2026,C,24,Lateral Raise (Dumbbell),5,20,Working,
W20260202,02/02/2026,B,1,Deadlift (Barbell),60,5,Warmup,
W20260202,02/02/2026,B,2,Deadlift (Barbell),100,5,Warmup,
W20260202,02/02/2026,B,3,Deadlift (Sumo),120,5,Working,Light Volume
W20260202,02/02/2026,B,4,Deadlift (Sumo),120,8,Working,Light Volume
W20260202,02/02/2026,B,5,Deadlift (Sumo),120,6,Working,Light Volume
W20260202,02/02/2026,B,6,Leg Press,141,12,Working,
W20260202,02/02/2026,B,7,Leg Press,157,10,Working,
W20260202,02/02/2026,B,8,Leg Press,157,10,Working,
W20260202,02/02/2026,B,9,Adductor Machine,70,12,Working,
W20260202,02/02/2026,B,10,Adductor Machine,70,8,Working,
W20260202,02/02/2026,B,11,Abductor Machine,70,10,Working,
W20260202,02/02/2026,B,12,Abductor Machine,70,10,Working,
W20260203,03/02/2026,A,1,Bench Press (Barbell),20,12,Warmup,
W20260203,03/02/2026,A,2,Bench Press (Barbell),40,5,Warmup,
W20260203,03/02/2026,A,3,Bench Press (Barbell),50,3,Warmup,
W20260203,03/02/2026,A,4,Bench Press (Barbell),65,7,Working,
W20260203,03/02/2026,A,5,Bench Press (Barbell),70,2,Working,
W20260203,03/02/2026,A,6,Bench Press (Barbell),70,4,Working,
W20260203,03/02/2026,A,7,Bench Press (Barbell),70,3,Working,
W20260203,03/02/2026,A,8,Bench Press (Barbell),60,6,Backoff,
W20260203,03/02/2026,A,9,Overhead Press (Seated Dumbbell),35,8,Working,85 deg incline
W20260203,03/02/2026,A,10,Overhead Press (Seated Dumbbell),35,8,Working,85 deg incline
W20260203,03/02/2026,A,11,Overhead Press (Seated Dumbbell),35,8,Working,85 deg incline
W20260203,03/02/2026,A,12,Chest-Supported Row (Machine),50,8,Working,
W20260203,03/02/2026,A,13,Seated Row (Machine) – Narrow Grip,40,8,Working,
W20260203,03/02/2026,A,14,Seated Row (Machine) – Narrow Grip,35,8,Working,
W20260203,03/02/2026,A,15,Triceps Extension (Cable),20,10,Working,new
W20260203,03/02/2026,A,16,Triceps Extension (Cable),17.5,8,Working,new
W20260203,03/02/2026,A,17,Hammer Curl (Incline),12,12,Working,75 deg incline
W20260203,03/02/2026,A,18,Hammer Curl (Incline),12,7,Working,75 deg incline
W20260203,03/02/2026,A,19,Lateral Raise (Dumbbell),7,11,Working,
W20260203,03/02/2026,A,20,Lateral Raise (Dumbbell),7,8,Working,
W20260203,03/02/2026,A,21,Face Pull,20,5,Working,new / unsure
W20260203,03/02/2026,A,22,Face Pull,15,14,Working,new
W20260206,05/02/2026,Extra,1,Bench Press (Barbell),20,10,Warmup,
W20260206,05/02/2026,Extra,2,Bench Press (Barbell),40,5,Warmup,
W20260206,05/02/2026,Extra,3,Bench Press (Barbell),60,1,Warmup,
W20260206,05/02/2026,Extra,4,Bench Press (Barbell),70,4,Working,RPE 9
W20260206,05/02/2026,Extra,5,Bench Press (Barbell),70,4,Working,RPE 9
W20260206,05/02/2026,Extra,6,Bench Press (Barbell),70,3,Working,RPE 9
W20260206,05/02/2026,Extra,7,Deadlift Sumo (Barbell),120,5,Working,RPE 6-7
W20260206,05/02/2026,Extra,8,Deadlift Sumo (Barbell),120,5,Working,RPE 6-7
W20260206,05/02/2026,Extra,9,Deadlift Sumo (Barbell),120,5,Working,RPE 6-7
W20260207,07/02/2026,B,1,Deadlift (Barbell),100,5,Warmup,
W20260207,07/02/2026,B,2,Deadlift (Barbell),120,2,Warmup,
W20260207,07/02/2026,B,3,Deadlift (Barbell),140,5,Working,
W20260207,07/02/2026,B,4,Deadlift (Barbell),120,10,Working,
W20260207,07/02/2026,B,5,Deadlift (Barbell),120,8,Working,
W20260207,07/02/2026,B,6,Leg Press (Machine New),140,3,Working,
W20260207,07/02/2026,B,7,Leg Press (Machine New),120,8,Working,
W20260207,07/02/2026,B,8,Leg Press (Machine New),100,12,Working,
W20260207,07/02/2026,B,9,Leg Press (Machine New),80,12,Backoff,
W20260207,07/02/2026,B,10,Leg Extension (Machine E),45,12,Working,
W20260207,07/02/2026,B,11,Leg Extension (Machine E),50,12,Working,
W20260207,07/02/2026,B,12,Leg Extension (Machine E),47,12,Working,
W20260207,07/02/2026,B,13,Leg Extension (Machine E),47,12,Working,
W20260207,07/02/2026,B,14,Biceps Curl (Machine New),25,12,Working,easy
W20260207,07/02/2026,B,15,Biceps Curl (Machine New),45,10,Working,
W20260207,07/02/2026,B,16,Biceps Curl (Machine New),38,12,Working,
W20260207,07/02/2026,B,17,Biceps Curl (Machine New),40,12,Working,
W20260207,07/02/2026,B,18,Abductor Machine (New),80,12,Working,
W20260207,07/02/2026,B,19,Abductor Machine (New),80,12,Working,
W20260207,07/02/2026,B,20,Abductor Machine (New),80,12,Working,
W20260207,07/02/2026,B,21,Adductor Machine (New),70,12,Working,easy
W20260207,07/02/2026,B,22,Adductor Machine (New),80,8,Working,
W20260207,07/02/2026,B,23,Adductor Machine (New),80,8,Working,
W20260207,07/02/2026,B,24,Leg Press (Machine E),150,12,Working,
W20260207,07/02/2026,B,25,Leg Press (Machine E),180,6,Working,
W20260207,07/02/2026,B,26,Leg Press (Machine E),130,11,Max Weight,Total 1309
W20260207,07/02/2026,B,27,Leg Press (Machine E),150,12,Max Weight,Total 1500
W20260213,13/02/2026,C,1,Bench Press (Barbell),20,10,Warmup,
W20260213,13/02/2026,C,2,Bench Press (Barbell),40,5,Warmup,
W20260213,13/02/2026,C,3,Bench Press (Barbell),50,3,Warmup,
W20260213,13/02/2026,C,4,Bench Press (Barbell),60,1,Warmup,
W20260213,13/02/2026,C,5,Bench Press (Barbell),70,3,Working,
W20260213,13/02/2026,C,6,Bench Press (Barbell),70,3,Working,
W20260213,13/02/2026,C,7,Bench Press (Barbell),70,3,Working,
W20260213,13/02/2026,C,8,Bench Press (Barbell),70,2,Working,
W20260213,13/02/2026,C,9,Chest Press (Machine E),40,12,Working,
W20260213,13/02/2026,C,10,Chest Press (Machine E),40,12,Working,
W20260213,13/02/2026,C,11,Chest Press (Machine E),45,12,Working,
W20260213,13/02/2026,C,12,Chest-Supported Row (Machine E),50,12,Working,
W20260213,13/02/2026,C,13,Chest-Supported Row (Machine E),50,12,Working,
W20260213,13/02/2026,C,14,Chest-Supported Row (Machine E),50,12,Working,
W20260213,13/02/2026,C,15,Triceps Extension (Cable EW),10,10,Working,
W20260213,13/02/2026,C,16,Triceps Extension (Cable EW),10,12,Working,
W20260213,13/02/2026,C,17,Face Pull (Cable EW),10,15,Working,
W20260213,13/02/2026,C,18,Face Pull (Cable EW),12.5,12,Working,
W20260213,13/02/2026,C,19,Incline Dumbbell Hammer Curl,13,9,Working,75 degrees
W20260213,13/02/2026,C,20,Incline Dumbbell Hammer Curl,13,6,Working,75 degrees
W20260213,13/02/2026,C,21,Lateral Raise (Dumbbell),7,12,Working,
W20260213,13/02/2026,C,22,Lateral Raise (Dumbbell),8,11,Working,
W20260215,15/02/2026,B,1,Deadlift (Barbell),60,5,Warmup,
W20260215,15/02/2026,B,2,Deadlift (Barbell),100,3,Warmup,
W20260215,15/02/2026,B,3,Deadlift (Barbell),130,6,Working,RPE 7-8
W20260215,15/02/2026,B,4,Deadlift (Barbell),130,6,Working,RPE 8-9
W20260215,15/02/2026,B,5,Deadlift (Barbell),130,5,Working,RPE 6-7
W20260215,15/02/2026,B,6,Leg Press (Machine E),150,12,Working,
W20260215,15/02/2026,B,7,Leg Press (Machine E),165,9,Working,
W20260215,15/02/2026,B,8,Leg Press (Machine E),165,12,Working,
W20260215,15/02/2026,B,9,Leg Curl (Machine E),42,12,Working,
W20260215,15/02/2026,B,10,Leg Curl (Machine E),41,12,Working,
W20260215,15/02/2026,B,11,Leg Curl (Machine E),41,12,Working,
W20260215,15/02/2026,B,12,Adductor Machine (New),75,12,Working,
W20260215,15/02/2026,B,13,Adductor Machine (New),75,10,Working,
W20260215,15/02/2026,B,14,Abductor Machine (New),80,10,Working,
W20260215,15/02/2026,B,15,Abductor Machine (New),80,10,Working,
W20260215,15/02/2026,B,16,Leg Extension (Machine E),49,12,Working,
W20260215,15/02/2026,B,17,Leg Extension (Machine E),50,12,Working,
W20260216,16/02/2026,A,1,Bench Press (Barbell),20,10,Warmup,
W20260216,16/02/2026,A,2,Bench Press (Barbell),40,5,Warmup,
W20260216,16/02/2026,A,3,Bench Press (Barbell),60,3,Warmup,
W20260216,16/02/2026,A,4,Bench Press (Barbell),70,4,Working,RPE 8-9
W20260216,16/02/2026,A,5,Bench Press (Barbell),70,3,Working,RPE 9
W20260216,16/02/2026,A,6,Bench Press (Barbell),65,6,Working,RPE 8-9
W20260216,16/02/2026,A,7,Bench Press (Barbell),65,5,Working,RPE 10
W20260216,16/02/2026,A,8,Seated Barbell Overhead Press,35,7,Working,RPE 8-9
W20260216,16/02/2026,A,9,Seated Barbell Overhead Press,35,6,Working,RPE 9-10
W20260216,16/02/2026,A,10,Seated Barbell Overhead Press,35,6,Working,RPE 10
W20260216,16/02/2026,A,11,Chest-Supported Row (Machine E),52,12,Working,
W20260216,16/02/2026,A,12,Chest-Supported Row (Machine E),54,11,Working,
W20260216,16/02/2026,A,13,Vertical Traction (Machine),50,10,Working,
W20260216,16/02/2026,A,14,Vertical Traction (Machine),50,11,Working,
W20260216,16/02/2026,A,15,Vertical Traction (Machine),50,11,Working,
W20260216,16/02/2026,A,16,Face Pull (Cable WW),20,8,Working,
W20260216,16/02/2026,A,17,Face Pull (Cable WW),20,9,Working,
W20260216,16/02/2026,A,18,Incline Dumbbell Hammer Curl,11,12,Working,"75 degrees, alternate"
W20260216,16/02/2026,A,19,Incline Dumbbell Hammer Curl,13,8,Working,"75 degrees, alternate"
W20260216,16/02/2026,A,20,Lateral Raise (Dumbbell),8,12,Working,
W20260216,16/02/2026,A,21,Lateral Raise (Dumbbell),8,11,Working,
